id,nombre,name_en,categoria,category_en,modo,kcal,p,c,g,f,fe,mg,zn,pot,na,vitc,creat,ca,phos,sel,cu,mn,iod,vita,vitd,vite,vitk,b1,b2,b3,b6,b12,fol,leu,lys,met,val,iso,phe,thr,trp,his,sugar,sat,mono,poly,chol,caf,water
abadejo,Abadejo,Abadejo,Proteina,Protein,cocido,111,23.5,0,1.3,0,0.4,25,0.5,430,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aceite_coco,Aceite de coco,Oil de coco,Grasa,Fat,ml,8.3,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aceite_girasol,Aceite de girasol,Oil de sunflower,Grasa,Fat,ml,8,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aceite_oliva,Aceite de oliva,Olive oil,Grasa,Fat,ml,8,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palta_aceite,Aceite de palta,Oil de avocado,Grasa,Fat,ml,8.1,0,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oil_canola,"Aceite, Canola","Oil, Canola",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61,62.6,25.3,0,0,0
oil_coconut,"Aceite, Coconut","Oil, Coconut",Grasas y aceites,Fats and Oils,crudo,833,0,0.84,99.1,0,0.05,0,0.02,0,0,0,0,1,0,0,0,0,0,0,0,0.11,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,6.31,1.7,0,0,0.03
oil_corn,"Aceite, Corn","Oil, Corn",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,27.7,52.9,0,0,0
oil_olive_extra_light,"Aceite, Oliva, Extra Light","Oil, Olive, Extra Light",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.88,26.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.82,66.63,10.37,0,0,0
oil_olive_extra_virgin,"Aceite, Oliva, Extra Virgin","Oil, Olive, Extra Virgin",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4,69.2,9.07,0,0,0
oil_peanut,"Aceite, Peanut","Oil, Peanut",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23,4.263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,57.14,19.92,0,0,0
oil_safflower,"Aceite, Safflower","Oil, Safflower",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.95,5.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.651,71.63,13.79,0,0,0
oil_soybean,"Aceite, Soybean","Oil, Soybean",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.9,22.1,57.6,0,0,0
oil_sunflower,"Aceite, Sunflower","Oil, Sunflower",Grasas y aceites,Fats and Oils,crudo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.48,6.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.991,63.37,20.71,0,0,0
aceituna_negra,Aceituna negra,Aceituna negra,Grasa,Fat,crudo,115,0.8,6.3,10.7,3.2,3.3,11,0.2,8,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
